Consumption (kwh), Estimated Cost (p), Start, End
0.020000, 0.43, 2024-08-26T14:30:00+01:00, 2024-08-26T15:00:00+01:00
0.023000, 0.50, 2024-08-26T15:00:00+01:00, 2024-08-26T15:30:00+01:00
0.021000, 0.45, 2024-08-26T15:30:00+01:00, 2024-08-26T16:00:00+01:00
0.009000, 0.19, 2024-08-26T16:00:00+01:00, 2024-08-26T16:30:00+01:00
0.022000, 0.48, 2024-08-26T16:30:00+01:00, 2024-08-26T17:00:00+01:00
0.021000, 0.45, 2024-08-26T17:00:00+01:00, 2024-08-26T17:30:00+01:00
0.006000, 0.13, 2024-08-26T17:30:00+01:00, 2024-08-26T18:00:00+01:00
0.045000, 0.97, 2024-08-26T18:00:00+01:00, 2024-08-26T18:30:00+01:00
0.029000, 0.63, 2024-08-26T18:30:00+01:00, 2024-08-26T19:00:00+01:00
0.020000, 0.43, 2024-08-26T19:00:00+01:00, 2024-08-26T19:30:00+01:00
0.029000, 0.63, 2024-08-26T19:30:00+01:00, 2024-08-26T20:00:00+01:00
0.015000, 0.32, 2024-08-26T20:00:00+01:00, 2024-08-26T20:30:00+01:00
0.200000, 4.33, 2024-08-26T20:30:00+01:00, 2024-08-26T21:00:00+01:00
0.062000, 1.34, 2024-08-26T21:00:00+01:00, 2024-08-26T21:30:00+01:00
0.046000, 1.00, 2024-08-26T21:30:00+01:00, 2024-08-26T22:00:00+01:00
0.055000, 1.19, 2024-08-26T22:00:00+01:00, 2024-08-26T22:30:00+01:00
0.054000, 1.17, 2024-08-26T22:30:00+01:00, 2024-08-26T23:00:00+01:00
0.032000, 0.69, 2024-08-26T23:00:00+01:00, 2024-08-26T23:30:00+01:00
0.059000, 1.28, 2024-08-26T23:30:00+01:00, 2024-08-27T00:00:00+01:00
0.027000, 0.58, 2024-08-27T00:00:00+01:00, 2024-08-27T00:30:00+01:00
0.019000, 0.41, 2024-08-27T00:30:00+01:00, 2024-08-27T01:00:00+01:00
0.030000, 0.65, 2024-08-27T01:00:00+01:00, 2024-08-27T01:30:00+01:00
0.010000, 0.22, 2024-08-27T01:30:00+01:00, 2024-08-27T02:00:00+01:00
0.025000, 0.54, 2024-08-27T02:00:00+01:00, 2024-08-27T02:30:00+01:00
0.014000, 0.30, 2024-08-27T02:30:00+01:00, 2024-08-27T03:00:00+01:00
0.016000, 0.35, 2024-08-27T03:00:00+01:00, 2024-08-27T03:30:00+01:00
0.024000, 0.52, 2024-08-27T03:30:00+01:00, 2024-08-27T04:00:00+01:00
0.006000, 0.13, 2024-08-27T04:00:00+01:00, 2024-08-27T04:30:00+01:00
0.023000, 0.50, 2024-08-27T04:30:00+01:00, 2024-08-27T05:00:00+01:00
0.006000, 0.13, 2024-08-27T05:00:00+01:00, 2024-08-27T05:30:00+01:00
0.024000, 0.52, 2024-08-27T05:30:00+01:00, 2024-08-27T06:00:00+01:00
0.014000, 0.30, 2024-08-27T06:00:00+01:00, 2024-08-27T06:30:00+01:00
0.015000, 0.32, 2024-08-27T06:30:00+01:00, 2024-08-27T07:00:00+01:00
0.025000, 0.54, 2024-08-27T07:00:00+01:00, 2024-08-27T07:30:00+01:00
0.006000, 0.13, 2024-08-27T07:30:00+01:00, 2024-08-27T08:00:00+01:00
0.227000, 4.91, 2024-08-27T08:00:00+01:00, 2024-08-27T08:30:00+01:00
0.180000, 3.90, 2024-08-27T08:30:00+01:00, 2024-08-27T09:00:00+01:00
0.081000, 1.75, 2024-08-27T09:00:00+01:00, 2024-08-27T09:30:00+01:00
0.037000, 0.80, 2024-08-27T09:30:00+01:00, 2024-08-27T10:00:00+01:00
0.022000, 0.48, 2024-08-27T10:00:00+01:00, 2024-08-27T10:30:00+01:00
0.006000, 0.13, 2024-08-27T10:30:00+01:00, 2024-08-27T11:00:00+01:00
0.022000, 0.48, 2024-08-27T11:00:00+01:00, 2024-08-27T11:30:00+01:00
0.023000, 0.50, 2024-08-27T11:30:00+01:00, 2024-08-27T12:00:00+01:00
0.005000, 0.11, 2024-08-27T12:00:00+01:00, 2024-08-27T12:30:00+01:00
0.023000, 0.50, 2024-08-27T12:30:00+01:00, 2024-08-27T13:00:00+01:00
0.012000, 0.26, 2024-08-27T13:00:00+01:00, 2024-08-27T13:30:00+01:00
0.017000, 0.37, 2024-08-27T13:30:00+01:00, 2024-08-27T14:00:00+01:00
0.022000, 0.48, 2024-08-27T14:00:00+01:00, 2024-08-27T14:30:00+01:00
0.147000, 3.18, 2024-08-27T14:30:00+01:00, 2024-08-27T15:00:00+01:00
0.065000, 1.41, 2024-08-27T15:00:00+01:00, 2024-08-27T15:30:00+01:00
0.042000, 0.91, 2024-08-27T15:30:00+01:00, 2024-08-27T16:00:00+01:00
0.038000, 0.82, 2024-08-27T16:00:00+01:00, 2024-08-27T16:30:00+01:00
0.043000, 0.93, 2024-08-27T16:30:00+01:00, 2024-08-27T17:00:00+01:00
0.022000, 0.48, 2024-08-27T17:00:00+01:00, 2024-08-27T17:30:00+01:00
0.218000, 4.72, 2024-08-27T17:30:00+01:00, 2024-08-27T18:00:00+01:00
0.027000, 0.58, 2024-08-27T18:00:00+01:00, 2024-08-27T18:30:00+01:00
0.112000, 2.42, 2024-08-27T18:30:00+01:00, 2024-08-27T19:00:00+01:00
0.108000, 2.34, 2024-08-27T19:00:00+01:00, 2024-08-27T19:30:00+01:00
0.131000, 2.84, 2024-08-27T19:30:00+01:00, 2024-08-27T20:00:00+01:00
0.056000, 1.21, 2024-08-27T20:00:00+01:00, 2024-08-27T20:30:00+01:00
0.068000, 1.47, 2024-08-27T20:30:00+01:00, 2024-08-27T21:00:00+01:00
0.201000, 4.35, 2024-08-27T21:00:00+01:00, 2024-08-27T21:30:00+01:00
0.084000, 1.82, 2024-08-27T21:30:00+01:00, 2024-08-27T22:00:00+01:00
0.067000, 1.45, 2024-08-27T22:00:00+01:00, 2024-08-27T22:30:00+01:00
0.062000, 1.34, 2024-08-27T22:30:00+01:00, 2024-08-27T23:00:00+01:00
0.059000, 1.28, 2024-08-27T23:00:00+01:00, 2024-08-27T23:30:00+01:00
0.046000, 1.00, 2024-08-27T23:30:00+01:00, 2024-08-28T00:00:00+01:00
0.065000, 1.41, 2024-08-28T00:00:00+01:00, 2024-08-28T00:30:00+01:00
0.033000, 0.71, 2024-08-28T00:30:00+01:00, 2024-08-28T01:00:00+01:00
0.026000, 0.56, 2024-08-28T01:00:00+01:00, 2024-08-28T01:30:00+01:00
0.023000, 0.50, 2024-08-28T01:30:00+01:00, 2024-08-28T02:00:00+01:00
0.009000, 0.19, 2024-08-28T02:00:00+01:00, 2024-08-28T02:30:00+01:00
0.025000, 0.54, 2024-08-28T02:30:00+01:00, 2024-08-28T03:00:00+01:00
0.006000, 0.13, 2024-08-28T03:00:00+01:00, 2024-08-28T03:30:00+01:00
0.025000, 0.54, 2024-08-28T03:30:00+01:00, 2024-08-28T04:00:00+01:00
0.010000, 0.22, 2024-08-28T04:00:00+01:00, 2024-08-28T04:30:00+01:00
0.021000, 0.45, 2024-08-28T04:30:00+01:00, 2024-08-28T05:00:00+01:00
0.024000, 0.52, 2024-08-28T05:00:00+01:00, 2024-08-28T05:30:00+01:00
0.012000, 0.26, 2024-08-28T05:30:00+01:00, 2024-08-28T06:00:00+01:00
0.025000, 0.54, 2024-08-28T06:00:00+01:00, 2024-08-28T06:30:00+01:00
0.006000, 0.13, 2024-08-28T06:30:00+01:00, 2024-08-28T07:00:00+01:00
0.025000, 0.54, 2024-08-28T07:00:00+01:00, 2024-08-28T07:30:00+01:00
0.007000, 0.15, 2024-08-28T07:30:00+01:00, 2024-08-28T08:00:00+01:00
0.065000, 1.41, 2024-08-28T08:00:00+01:00, 2024-08-28T08:30:00+01:00
0.257000, 5.56, 2024-08-28T08:30:00+01:00, 2024-08-28T09:00:00+01:00
0.095000, 2.06, 2024-08-28T09:00:00+01:00, 2024-08-28T09:30:00+01:00
0.232000, 5.02, 2024-08-28T09:30:00+01:00, 2024-08-28T10:00:00+01:00
0.049000, 1.06, 2024-08-28T10:00:00+01:00, 2024-08-28T10:30:00+01:00
0.052000, 1.13, 2024-08-28T10:30:00+01:00, 2024-08-28T11:00:00+01:00
0.062000, 1.34, 2024-08-28T11:00:00+01:00, 2024-08-28T11:30:00+01:00
0.043000, 0.93, 2024-08-28T11:30:00+01:00, 2024-08-28T12:00:00+01:00
0.047000, 1.02, 2024-08-28T12:00:00+01:00, 2024-08-28T12:30:00+01:00
0.041000, 0.89, 2024-08-28T12:30:00+01:00, 2024-08-28T13:00:00+01:00
0.158000, 3.42, 2024-08-28T13:00:00+01:00, 2024-08-28T13:30:00+01:00
0.057000, 1.23, 2024-08-28T13:30:00+01:00, 2024-08-28T14:00:00+01:00
0.026000, 0.56, 2024-08-28T14:00:00+01:00, 2024-08-28T14:30:00+01:00
0.007000, 0.15, 2024-08-28T14:30:00+01:00, 2024-08-28T15:00:00+01:00
0.024000, 0.52, 2024-08-28T15:00:00+01:00, 2024-08-28T15:30:00+01:00
0.020000, 0.43, 2024-08-28T15:30:00+01:00, 2024-08-28T16:00:00+01:00
0.011000, 0.24, 2024-08-28T16:00:00+01:00, 2024-08-28T16:30:00+01:00
0.024000, 0.52, 2024-08-28T16:30:00+01:00, 2024-08-28T17:00:00+01:00
0.007000, 0.15, 2024-08-28T17:00:00+01:00, 2024-08-28T17:30:00+01:00
0.025000, 0.54, 2024-08-28T17:30:00+01:00, 2024-08-28T18:00:00+01:00
0.179000, 3.87, 2024-08-28T18:00:00+01:00, 2024-08-28T18:30:00+01:00
0.008000, 0.17, 2024-08-28T18:30:00+01:00, 2024-08-28T19:00:00+01:00
0.025000, 0.54, 2024-08-28T19:00:00+01:00, 2024-08-28T19:30:00+01:00
0.006000, 0.13, 2024-08-28T19:30:00+01:00, 2024-08-28T20:00:00+01:00
0.234000, 5.07, 2024-08-28T20:00:00+01:00, 2024-08-28T20:30:00+01:00
0.070000, 1.52, 2024-08-28T20:30:00+01:00, 2024-08-28T21:00:00+01:00
0.071000, 1.54, 2024-08-28T21:00:00+01:00, 2024-08-28T21:30:00+01:00
0.088000, 1.90, 2024-08-28T21:30:00+01:00, 2024-08-28T22:00:00+01:00
0.066000, 1.43, 2024-08-28T22:00:00+01:00, 2024-08-28T22:30:00+01:00
0.078000, 1.69, 2024-08-28T22:30:00+01:00, 2024-08-28T23:00:00+01:00
0.056000, 1.21, 2024-08-28T23:00:00+01:00, 2024-08-28T23:30:00+01:00
0.039000, 0.84, 2024-08-28T23:30:00+01:00, 2024-08-29T00:00:00+01:00
0.044000, 0.95, 2024-08-29T00:00:00+01:00, 2024-08-29T00:30:00+01:00
0.024000, 0.52, 2024-08-29T00:30:00+01:00, 2024-08-29T01:00:00+01:00
0.032000, 0.69, 2024-08-29T01:00:00+01:00, 2024-08-29T01:30:00+01:00
0.007000, 0.15, 2024-08-29T01:30:00+01:00, 2024-08-29T02:00:00+01:00
0.024000, 0.52, 2024-08-29T02:00:00+01:00, 2024-08-29T02:30:00+01:00
0.006000, 0.13, 2024-08-29T02:30:00+01:00, 2024-08-29T03:00:00+01:00
0.026000, 0.56, 2024-08-29T03:00:00+01:00, 2024-08-29T03:30:00+01:00
0.010000, 0.22, 2024-08-29T03:30:00+01:00, 2024-08-29T04:00:00+01:00
0.021000, 0.45, 2024-08-29T04:00:00+01:00, 2024-08-29T04:30:00+01:00
0.015000, 0.32, 2024-08-29T04:30:00+01:00, 2024-08-29T05:00:00+01:00
0.016000, 0.35, 2024-08-29T05:00:00+01:00, 2024-08-29T05:30:00+01:00
0.020000, 0.43, 2024-08-29T05:30:00+01:00, 2024-08-29T06:00:00+01:00
0.011000, 0.24, 2024-08-29T06:00:00+01:00, 2024-08-29T06:30:00+01:00
0.025000, 0.54, 2024-08-29T06:30:00+01:00, 2024-08-29T07:00:00+01:00
0.007000, 0.15, 2024-08-29T07:00:00+01:00, 2024-08-29T07:30:00+01:00
0.027000, 0.58, 2024-08-29T07:30:00+01:00, 2024-08-29T08:00:00+01:00
0.220000, 4.76, 2024-08-29T08:00:00+01:00, 2024-08-29T08:30:00+01:00
0.134000, 2.90, 2024-08-29T08:30:00+01:00, 2024-08-29T09:00:00+01:00
0.169000, 3.66, 2024-08-29T09:00:00+01:00, 2024-08-29T09:30:00+01:00
0.081000, 1.75, 2024-08-29T09:30:00+01:00, 2024-08-29T10:00:00+01:00
0.093000, 2.01, 2024-08-29T10:00:00+01:00, 2024-08-29T10:30:00+01:00
0.078000, 1.69, 2024-08-29T10:30:00+01:00, 2024-08-29T11:00:00+01:00
0.081000, 1.75, 2024-08-29T11:00:00+01:00, 2024-08-29T11:30:00+01:00
0.082000, 1.78, 2024-08-29T11:30:00+01:00, 2024-08-29T12:00:00+01:00
0.069000, 1.49, 2024-08-29T12:00:00+01:00, 2024-08-29T12:30:00+01:00
0.212000, 4.59, 2024-08-29T12:30:00+01:00, 2024-08-29T13:00:00+01:00
0.070000, 1.52, 2024-08-29T13:00:00+01:00, 2024-08-29T13:30:00+01:00
0.077000, 1.67, 2024-08-29T13:30:00+01:00, 2024-08-29T14:00:00+01:00
0.088000, 1.90, 2024-08-29T14:00:00+01:00, 2024-08-29T14:30:00+01:00
0.193000, 4.18, 2024-08-29T14:30:00+01:00, 2024-08-29T15:00:00+01:00
0.062000, 1.34, 2024-08-29T15:00:00+01:00, 2024-08-29T15:30:00+01:00
0.108000, 2.34, 2024-08-29T15:30:00+01:00, 2024-08-29T16:00:00+01:00
0.039000, 0.84, 2024-08-29T16:00:00+01:00, 2024-08-29T16:30:00+01:00
0.036000, 0.78, 2024-08-29T16:30:00+01:00, 2024-08-29T17:00:00+01:00
0.134000, 2.90, 2024-08-29T17:00:00+01:00, 2024-08-29T17:30:00+01:00
0.016000, 0.35, 2024-08-29T17:30:00+01:00, 2024-08-29T18:00:00+01:00
0.014000, 0.30, 2024-08-29T18:00:00+01:00, 2024-08-29T18:30:00+01:00
0.113000, 2.45, 2024-08-29T18:30:00+01:00, 2024-08-29T19:00:00+01:00
0.068000, 1.47, 2024-08-29T19:00:00+01:00, 2024-08-29T19:30:00+01:00
0.065000, 1.41, 2024-08-29T19:30:00+01:00, 2024-08-29T20:00:00+01:00
0.062000, 1.34, 2024-08-29T20:00:00+01:00, 2024-08-29T20:30:00+01:00
0.054000, 1.17, 2024-08-29T20:30:00+01:00, 2024-08-29T21:00:00+01:00
0.075000, 1.62, 2024-08-29T21:00:00+01:00, 2024-08-29T21:30:00+01:00
0.074000, 1.60, 2024-08-29T21:30:00+01:00, 2024-08-29T22:00:00+01:00
0.050000, 1.08, 2024-08-29T22:00:00+01:00, 2024-08-29T22:30:00+01:00
0.166000, 3.59, 2024-08-29T22:30:00+01:00, 2024-08-29T23:00:00+01:00
0.062000, 1.34, 2024-08-29T23:00:00+01:00, 2024-08-29T23:30:00+01:00
0.053000, 1.15, 2024-08-29T23:30:00+01:00, 2024-08-30T00:00:00+01:00
0.053000, 1.15, 2024-08-30T00:00:00+01:00, 2024-08-30T00:30:00+01:00
0.028000, 0.61, 2024-08-30T00:30:00+01:00, 2024-08-30T01:00:00+01:00
0.028000, 0.61, 2024-08-30T01:00:00+01:00, 2024-08-30T01:30:00+01:00
0.016000, 0.35, 2024-08-30T01:30:00+01:00, 2024-08-30T02:00:00+01:00
0.017000, 0.37, 2024-08-30T02:00:00+01:00, 2024-08-30T02:30:00+01:00
0.025000, 0.54, 2024-08-30T02:30:00+01:00, 2024-08-30T03:00:00+01:00
0.006000, 0.13, 2024-08-30T03:00:00+01:00, 2024-08-30T03:30:00+01:00
0.026000, 0.56, 2024-08-30T03:30:00+01:00, 2024-08-30T04:00:00+01:00
0.007000, 0.15, 2024-08-30T04:00:00+01:00, 2024-08-30T04:30:00+01:00
0.024000, 0.52, 2024-08-30T04:30:00+01:00, 2024-08-30T05:00:00+01:00
0.019000, 0.41, 2024-08-30T05:00:00+01:00, 2024-08-30T05:30:00+01:00
0.012000, 0.26, 2024-08-30T05:30:00+01:00, 2024-08-30T06:00:00+01:00
0.024000, 0.52, 2024-08-30T06:00:00+01:00, 2024-08-30T06:30:00+01:00
0.007000, 0.15, 2024-08-30T06:30:00+01:00, 2024-08-30T07:00:00+01:00
0.045000, 0.97, 2024-08-30T07:00:00+01:00, 2024-08-30T07:30:00+01:00
0.117000, 2.53, 2024-08-30T07:30:00+01:00, 2024-08-30T08:00:00+01:00
0.197000, 4.26, 2024-08-30T08:00:00+01:00, 2024-08-30T08:30:00+01:00
0.123000, 2.66, 2024-08-30T08:30:00+01:00, 2024-08-30T09:00:00+01:00
0.068000, 1.47, 2024-08-30T09:00:00+01:00, 2024-08-30T09:30:00+01:00
0.075000, 1.62, 2024-08-30T09:30:00+01:00, 2024-08-30T10:00:00+01:00
0.461000, 9.98, 2024-08-30T10:00:00+01:00, 2024-08-30T10:30:00+01:00
0.239000, 5.17, 2024-08-30T10:30:00+01:00, 2024-08-30T11:00:00+01:00
0.218000, 4.72, 2024-08-30T11:00:00+01:00, 2024-08-30T11:30:00+01:00
0.207000, 4.48, 2024-08-30T11:30:00+01:00, 2024-08-30T12:00:00+01:00
0.047000, 1.02, 2024-08-30T12:00:00+01:00, 2024-08-30T12:30:00+01:00
0.020000, 0.43, 2024-08-30T12:30:00+01:00, 2024-08-30T13:00:00+01:00
0.019000, 0.41, 2024-08-30T13:00:00+01:00, 2024-08-30T13:30:00+01:00
0.019000, 0.41, 2024-08-30T13:30:00+01:00, 2024-08-30T14:00:00+01:00
0.014000, 0.30, 2024-08-30T14:00:00+01:00, 2024-08-30T14:30:00+01:00
0.011000, 0.24, 2024-08-30T14:30:00+01:00, 2024-08-30T15:00:00+01:00
0.020000, 0.43, 2024-08-30T15:00:00+01:00, 2024-08-30T15:30:00+01:00
0.020000, 0.43, 2024-08-30T15:30:00+01:00, 2024-08-30T16:00:00+01:00
0.005000, 0.11, 2024-08-30T16:00:00+01:00, 2024-08-30T16:30:00+01:00
0.020000, 0.43, 2024-08-30T16:30:00+01:00, 2024-08-30T17:00:00+01:00
0.021000, 0.45, 2024-08-30T17:00:00+01:00, 2024-08-30T17:30:00+01:00
0.005000, 0.11, 2024-08-30T17:30:00+01:00, 2024-08-30T18:00:00+01:00
0.021000, 0.45, 2024-08-30T18:00:00+01:00, 2024-08-30T18:30:00+01:00
0.018000, 0.39, 2024-08-30T18:30:00+01:00, 2024-08-30T19:00:00+01:00
0.008000, 0.17, 2024-08-30T19:00:00+01:00, 2024-08-30T19:30:00+01:00
0.021000, 0.45, 2024-08-30T19:30:00+01:00, 2024-08-30T20:00:00+01:00
0.040000, 0.87, 2024-08-30T20:00:00+01:00, 2024-08-30T20:30:00+01:00
0.191000, 4.13, 2024-08-30T20:30:00+01:00, 2024-08-30T21:00:00+01:00
0.060000, 1.30, 2024-08-30T21:00:00+01:00, 2024-08-30T21:30:00+01:00
0.069000, 1.49, 2024-08-30T21:30:00+01:00, 2024-08-30T22:00:00+01:00
0.068000, 1.47, 2024-08-30T22:00:00+01:00, 2024-08-30T22:30:00+01:00
0.069000, 1.49, 2024-08-30T22:30:00+01:00, 2024-08-30T23:00:00+01:00
0.011000, 0.24, 2024-08-30T23:00:00+01:00, 2024-08-30T23:30:00+01:00
0.025000, 0.54, 2024-08-30T23:30:00+01:00, 2024-08-31T00:00:00+01:00
0.025000, 0.54, 2024-08-31T00:00:00+01:00, 2024-08-31T00:30:00+01:00
0.013000, 0.28, 2024-08-31T00:30:00+01:00, 2024-08-31T01:00:00+01:00
0.020000, 0.43, 2024-08-31T01:00:00+01:00, 2024-08-31T01:30:00+01:00
0.024000, 0.52, 2024-08-31T01:30:00+01:00, 2024-08-31T02:00:00+01:00
0.013000, 0.28, 2024-08-31T02:00:00+01:00, 2024-08-31T02:30:00+01:00
0.020000, 0.43, 2024-08-31T02:30:00+01:00, 2024-08-31T03:00:00+01:00
0.026000, 0.56, 2024-08-31T03:00:00+01:00, 2024-08-31T03:30:00+01:00
0.008000, 0.17, 2024-08-31T03:30:00+01:00, 2024-08-31T04:00:00+01:00
0.025000, 0.54, 2024-08-31T04:00:00+01:00, 2024-08-31T04:30:00+01:00
0.019000, 0.41, 2024-08-31T04:30:00+01:00, 2024-08-31T05:00:00+01:00
0.015000, 0.32, 2024-08-31T05:00:00+01:00, 2024-08-31T05:30:00+01:00
0.025000, 0.54, 2024-08-31T05:30:00+01:00, 2024-08-31T06:00:00+01:00
0.008000, 0.17, 2024-08-31T06:00:00+01:00, 2024-08-31T06:30:00+01:00
0.025000, 0.54, 2024-08-31T06:30:00+01:00, 2024-08-31T07:00:00+01:00
0.014000, 0.30, 2024-08-31T07:00:00+01:00, 2024-08-31T07:30:00+01:00
0.125000, 2.71, 2024-08-31T07:30:00+01:00, 2024-08-31T08:00:00+01:00
0.025000, 0.54, 2024-08-31T08:00:00+01:00, 2024-08-31T08:30:00+01:00
0.010000, 0.22, 2024-08-31T08:30:00+01:00, 2024-08-31T09:00:00+01:00
0.195000, 4.22, 2024-08-31T09:00:00+01:00, 2024-08-31T09:30:00+01:00
0.032000, 0.69, 2024-08-31T09:30:00+01:00, 2024-08-31T10:00:00+01:00
0.012000, 0.26, 2024-08-31T10:00:00+01:00, 2024-08-31T10:30:00+01:00
0.173000, 3.75, 2024-08-31T10:30:00+01:00, 2024-08-31T11:00:00+01:00
0.010000, 0.22, 2024-08-31T11:00:00+01:00, 2024-08-31T11:30:00+01:00
0.021000, 0.45, 2024-08-31T11:30:00+01:00, 2024-08-31T12:00:00+01:00
0.024000, 0.52, 2024-08-31T12:00:00+01:00, 2024-08-31T12:30:00+01:00
0.011000, 0.24, 2024-08-31T12:30:00+01:00, 2024-08-31T13:00:00+01:00
0.019000, 0.41, 2024-08-31T13:00:00+01:00, 2024-08-31T13:30:00+01:00
0.023000, 0.50, 2024-08-31T13:30:00+01:00, 2024-08-31T14:00:00+01:00
0.006000, 0.13, 2024-08-31T14:00:00+01:00, 2024-08-31T14:30:00+01:00
0.024000, 0.52, 2024-08-31T14:30:00+01:00, 2024-08-31T15:00:00+01:00
0.023000, 0.50, 2024-08-31T15:00:00+01:00, 2024-08-31T15:30:00+01:00
0.007000, 0.15, 2024-08-31T15:30:00+01:00, 2024-08-31T16:00:00+01:00
0.024000, 0.52, 2024-08-31T16:00:00+01:00, 2024-08-31T16:30:00+01:00
0.174000, 3.77, 2024-08-31T16:30:00+01:00, 2024-08-31T17:00:00+01:00
0.028000, 0.61, 2024-08-31T17:00:00+01:00, 2024-08-31T17:30:00+01:00
0.034000, 0.74, 2024-08-31T17:30:00+01:00, 2024-08-31T18:00:00+01:00
0.014000, 0.30, 2024-08-31T18:00:00+01:00, 2024-08-31T18:30:00+01:00
0.037000, 0.80, 2024-08-31T18:30:00+01:00, 2024-08-31T19:00:00+01:00
0.107000, 2.32, 2024-08-31T19:00:00+01:00, 2024-08-31T19:30:00+01:00
0.074000, 1.60, 2024-08-31T19:30:00+01:00, 2024-08-31T20:00:00+01:00
0.050000, 1.08, 2024-08-31T20:00:00+01:00, 2024-08-31T20:30:00+01:00
0.064000, 1.39, 2024-08-31T20:30:00+01:00, 2024-08-31T21:00:00+01:00
0.059000, 1.28, 2024-08-31T21:00:00+01:00, 2024-08-31T21:30:00+01:00
0.049000, 1.06, 2024-08-31T21:30:00+01:00, 2024-08-31T22:00:00+01:00
0.066000, 1.43, 2024-08-31T22:00:00+01:00, 2024-08-31T22:30:00+01:00
0.048000, 1.04, 2024-08-31T22:30:00+01:00, 2024-08-31T23:00:00+01:00
0.031000, 0.67, 2024-08-31T23:00:00+01:00, 2024-08-31T23:30:00+01:00
0.025000, 0.54, 2024-08-31T23:30:00+01:00, 2024-09-01T00:00:00+01:00
0.006000, 0.13, 2024-09-01T00:00:00+01:00, 2024-09-01T00:30:00+01:00
0.024000, 0.52, 2024-09-01T00:30:00+01:00, 2024-09-01T01:00:00+01:00
0.013000, 0.28, 2024-09-01T01:00:00+01:00, 2024-09-01T01:30:00+01:00
0.018000, 0.39, 2024-09-01T01:30:00+01:00, 2024-09-01T02:00:00+01:00
0.024000, 0.52, 2024-09-01T02:00:00+01:00, 2024-09-01T02:30:00+01:00
0.006000, 0.13, 2024-09-01T02:30:00+01:00, 2024-09-01T03:00:00+01:00
0.024000, 0.52, 2024-09-01T03:00:00+01:00, 2024-09-01T03:30:00+01:00
0.013000, 0.28, 2024-09-01T03:30:00+01:00, 2024-09-01T04:00:00+01:00
0.017000, 0.37, 2024-09-01T04:00:00+01:00, 2024-09-01T04:30:00+01:00
0.025000, 0.54, 2024-09-01T04:30:00+01:00, 2024-09-01T05:00:00+01:00
0.006000, 0.13, 2024-09-01T05:00:00+01:00, 2024-09-01T05:30:00+01:00
0.024000, 0.52, 2024-09-01T05:30:00+01:00, 2024-09-01T06:00:00+01:00
0.006000, 0.13, 2024-09-01T06:00:00+01:00, 2024-09-01T06:30:00+01:00
0.024000, 0.52, 2024-09-01T06:30:00+01:00, 2024-09-01T07:00:00+01:00
0.020000, 0.43, 2024-09-01T07:00:00+01:00, 2024-09-01T07:30:00+01:00
0.011000, 0.24, 2024-09-01T07:30:00+01:00, 2024-09-01T08:00:00+01:00
0.110000, 2.38, 2024-09-01T08:00:00+01:00, 2024-09-01T08:30:00+01:00
0.006000, 0.13, 2024-09-01T08:30:00+01:00, 2024-09-01T09:00:00+01:00
0.061000, 1.32, 2024-09-01T09:00:00+01:00, 2024-09-01T09:30:00+01:00
0.253000, 5.48, 2024-09-01T09:30:00+01:00, 2024-09-01T10:00:00+01:00
0.038000, 0.82, 2024-09-01T10:00:00+01:00, 2024-09-01T10:30:00+01:00
0.011000, 0.24, 2024-09-01T10:30:00+01:00, 2024-09-01T11:00:00+01:00
0.023000, 0.50, 2024-09-01T11:00:00+01:00, 2024-09-01T11:30:00+01:00
0.011000, 0.24, 2024-09-01T11:30:00+01:00, 2024-09-01T12:00:00+01:00
0.018000, 0.39, 2024-09-01T12:00:00+01:00, 2024-09-01T12:30:00+01:00
0.024000, 0.52, 2024-09-01T12:30:00+01:00, 2024-09-01T13:00:00+01:00
0.005000, 0.11, 2024-09-01T13:00:00+01:00, 2024-09-01T13:30:00+01:00
0.024000, 0.52, 2024-09-01T13:30:00+01:00, 2024-09-01T14:00:00+01:00
0.009000, 0.19, 2024-09-01T14:00:00+01:00, 2024-09-01T14:30:00+01:00
0.021000, 0.45, 2024-09-01T14:30:00+01:00, 2024-09-01T15:00:00+01:00
0.022000, 0.48, 2024-09-01T15:00:00+01:00, 2024-09-01T15:30:00+01:00
0.007000, 0.15, 2024-09-01T15:30:00+01:00, 2024-09-01T16:00:00+01:00
0.024000, 0.52, 2024-09-01T16:00:00+01:00, 2024-09-01T16:30:00+01:00
0.126000, 2.73, 2024-09-01T16:30:00+01:00, 2024-09-01T17:00:00+01:00
0.024000, 0.52, 2024-09-01T17:00:00+01:00, 2024-09-01T17:30:00+01:00
0.019000, 0.41, 2024-09-01T17:30:00+01:00, 2024-09-01T18:00:00+01:00
0.032000, 0.69, 2024-09-01T18:00:00+01:00, 2024-09-01T18:30:00+01:00
0.227000, 4.91, 2024-09-01T18:30:00+01:00, 2024-09-01T19:00:00+01:00
0.132000, 2.86, 2024-09-01T19:00:00+01:00, 2024-09-01T19:30:00+01:00
0.092000, 1.99, 2024-09-01T19:30:00+01:00, 2024-09-01T20:00:00+01:00
0.073000, 1.58, 2024-09-01T20:00:00+01:00, 2024-09-01T20:30:00+01:00
0.089000, 1.93, 2024-09-01T20:30:00+01:00, 2024-09-01T21:00:00+01:00
0.076000, 1.65, 2024-09-01T21:00:00+01:00, 2024-09-01T21:30:00+01:00
0.079000, 1.71, 2024-09-01T21:30:00+01:00, 2024-09-01T22:00:00+01:00
